Instance Name; Schedule Type;FS;BFS;UFS;Run nr;Cmax;LinearStartDelay;Start Punctuality;Finish Punctuality
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;7;188,322999820218;234,883060850213;0,98019801980198;1
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;8;190,067083634039;192,209788185446;0,98019801980198;0,99009900990099
100j-250r-12m.ms;GreedyLoadBalancing;732;46;107,5;9;188,283498098615;152,623916874016;0,98019801980198;0,99009900990099
100j-250r-12m.ms;Random;1463;56;143,75;0;276,090574160576;110,671294276751;0,99009900990099;1
100j-250r-12m.ms;Random;1463;56;143,75;1;274,327389774051;215,728007836862;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Random;1463;56;143,75;2;277,756080538412;160,603759115986;0,99009900990099;1
100j-250r-12m.ms;Random;1463;56;143,75;3;280,73675403643;111,994570836524;0,99009900990099;1
100j-250r-12m.ms;Random;1463;56;143,75;4;276,520959535319;221,784853874878;0,99009900990099;1
100j-250r-12m.ms;Random;1463;56;143,75;5;284,468913983472;515,112727209326;0,99009900990099;1
100j-250r-12m.ms;Random;1463;56;143,75;6;278,183677532229;156,643569877295;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Random;1463;56;143,75;7;273,720880168616;98,9527883669924;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Random;1463;56;143,75;8;279,21627335367;258,804335201655;0,99009900990099;0,99009900990099
100j-250r-12m.ms;Random;1463;56;143,75;9;277,154920519971;218,268074832099;0,99009900990099;0,99009900990099
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;0;239,610664979121;100,988493743066;0,99009900990099;0,99009900990099
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;1;238,600678041679;133,823819486172;0,99009900990099;0,99009900990099
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;2;237;53,4385831906121;0,257425742574257;0,257425742574257
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;3;239,613197338309;149,905562997107;0,99009900990099;0,99009900990099
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;4;243,545244635593;195,959132742341;0,99009900990099;0,99009900990099
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;5;237;46,5685552567291;0,257425742574257;0,257425742574257
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;6;237;52,9368681063288;0,257425742574257;0,257425742574257
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;7;239,930133247196;230,146091108522;0,99009900990099;0,99009900990099
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;8;237;60,9385414968686;0,257425742574257;0,257425742574257
100j-250r-6m.ms;Rolling Machine Assignment;318;21;45,5;9;237;37,7332125812036;0,257425742574257;0,257425742574257
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;0;270,079088490975;187,050918112895;0,98019801980198;0,99009900990099
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;1;272,718944500497;330,589981092138;0,98019801980198;0,99009900990099
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;2;268;14,958224932731;0,108910891089109;0,118811881188119
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;3;268;16,3941706005061;0,108910891089109;0,118811881188119
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;4;268;15,9762346204905;0,108910891089109;0,118811881188119
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;5;268;13;0,108910891089109;0,118811881188119
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;6;268;15,2474204831715;0,108910891089109;0,118811881188119
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;7;270,36038095211;241,44717869324;0,98019801980198;0,99009900990099
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;8;268;13,5479098114276;0,108910891089109;0,118811881188119
100j-250r-6m.ms;GreedyLoadBalancing;516;38;73,25;9;268;15,0080570714045;0,108910891089109;0,118811881188119
100j-250r-6m.ms;Random;949;51;95;0;369,433040917893;161,273230670692;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;1;368,693282661086;306,154724199065;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;2;351;94,8740392009367;0,514851485148515;0,524752475247525
100j-250r-6m.ms;Random;949;51;95;3;367,416054079315;66,6892717145791;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;4;370,966636803688;132,512809997772;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;5;371,357830288845;148,502548079087;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;6;368,692181382763;262,330317444922;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;7;366,653221978668;70,9515834127051;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;8;379,449225908507;527,150596531837;0,99009900990099;1
100j-250r-6m.ms;Random;949;51;95;9;367,250920058249;313,610770430996;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;0;145,66331860565;593,549124019266;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;1;150,090434633998;624,966419825491;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;2;146,960781019669;617,422293575295;0,99009900990099;0,99009900990099
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;3;146,773126896767;547,106810211055;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;4;144,787814984962;570,664829876058;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;5;142,114339073996;557,661965555116;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;6;148,495657206521;596,943635847003;0,99009900990099;0,99009900990099
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;7;143,940986913804;568,952701326124;0,99009900990099;0,99009900990099
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;8;144,047971612366;591,859994522206;0,99009900990099;1
100j-50r-12m.ms;Rolling Machine Assignment;414;18;24;9;147,763541666655;563,256565106923;0,99009900990099;1
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;0;169,24315404998;623,957593876081;0,98019801980198;1
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;1;170,814991552501;815,93521000097;0,98019801980198;0,99009900990099
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;2;172,293571576918;651,855964233152;0,98019801980198;0,99009900990099
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;3;171,960818797428;761,264759630831;0,98019801980198;0,99009900990099
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;4;171,379955094964;687,875423185988;0,98019801980198;0,99009900990099
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;5;171,261088550416;662,775449221777;0,98019801980198;0,99009900990099
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;6;171,930159139585;841,575334189486;0,98019801980198;1
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;7;172,028232303087;782,812177180686;0,98019801980198;0,99009900990099
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;8;170,073961455175;752,699680031074;0,98019801980198;1
100j-50r-12m.ms;GreedyLoadBalancing;761;47;117,25;9;171,438150259453;823,459713820251;0,98019801980198;0,99009900990099
100j-50r-12m.ms;Random;1273;55;122;0;222,295943127965;267,945672769238;1;1
100j-50r-12m.ms;Random;1273;55;122;1;226,205551000732;444,79563374885;1;1
100j-50r-12m.ms;Random;1273;55;122;2;221,973439046393;306,531514093952;1;1
100j-50r-12m.ms;Random;1273;55;122;3;222,915462506497;361,562108274417;1;1
100j-50r-12m.ms;Random;1273;55;122;4;220,232368845432;336,857824918429;1;1
100j-50r-12m.ms;Random;1273;55;122;5;221,140038722815;365,822712076125;1;1
100j-50r-12m.ms;Random;1273;55;122;6;221,129885158666;460,12791784157;1;1
100j-50r-12m.ms;Random;1273;55;122;7;222,891787895127;335,685477014058;1;1
100j-50r-12m.ms;Random;1273;55;122;8;229,113253312512;459,075142809245;1;1
100j-50r-12m.ms;Random;1273;55;122;9;220,716526951485;323,520880016513;1;1
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;0;246,762894172943;903,28612410493;0,99009900990099;1
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;1;245,162499764266;955,591463098031;0,99009900990099;0,99009900990099
100j-50r-6m.ms;Rolling Machine Assignment;146;8;15,75;2;245,692321470877;903,688989017768;0,99009900990099;1
